redump_name,serial_1,serial_2,serial_3
Psychic Detective (USA) (Disc 3),,,
Puppet Tale (Japan),FZ-SJ0203,,
Putt-Putt Goes to the Moon (USA),,,
"Putt-Putt Joins the Parade (Japan) (En,Ja)",FZ-SJ2153,,
Putt-Putt Joins the Parade (USA),,,
Putt-Putt Joins the Parade (USA) (Alt),,,
"Putt-Putt's Fun Pack (Japan) (En,Ja)",FZ-SJ2151,,
"Putt-Putt's Fun Pack (USA, Korea)",GDT-EA021,,
Puzzle Bobble (Japan),FZ-SJ0252,,
Puzzle Bobble (Japan) (Demo),FZ-JJ9DSA-5K,,
Pyramid Intruder (Japan),FZ-SJ4451,,
"Quarantine (USA) (En,Fr,De,Es) (RE)",,,
"Quarantine (USA) (En,Ja,Fr,De,Es) (RE2)",,,
"Quarantine (USA, Japan) (En,Ja,Fr,De,Es)",IM-TS9503,,
Quarterback Attack (USA),,,
Real Pinball (Canada),FZ-SC0801,,
Real Pinball (Europe),FZ-SE0801,,
Real Pinball (USA),FZ-SM0801,,
"Remute 3D (Europe) (En,De) (Unl)",,,
Return Fire - Maps O' Death (Europe),,,
Return Fire - Maps O' Death (USA),,,
Return Fire (Japan) (Demo),FZ-JJ9DSR-5F,,
"Return Fire (Japan, Europe) (En,Ja,Fr,De,Es,It,Pt,Ko,Ru,Ar)",FZ-SJ 6751,,
Return Fire (USA),PRO - RF3DO001,,
"Return Fire (USA, Europe)",,,
Rise of the Robots (Europe),,,
Rise of the Robots (USA),,,
Road & Track Presents - OverDrivin' (Japan),IMP-SD0101,,
Road & Track Presents - OverDrivin' (Japan) (Demo),IMP-SS0102,,
Road & Track Presents - The Need for Speed (Korea),GDT-GA251,,
"Road & Track Presents - The Need for Speed (USA, Europe)",,,
Road Rash (Europe),E176DCXD,,
Road Rash (Europe) (Rev 1),,,
Road Rash (Japan),FZ-SJ1654,,
Road Rash (Japan) (Demo),FZ-SD1654,,
Road Rash (USA),,,
Robinson's Requiem (USA),,,
Royal Pro Wrestling - Jikkyou Live!! (Japan),FZ-SJ6551,,
"Sample This! (USA, Japan)",FZ-JJ9DSC-5B,,
"Samurai Shodown (Japan) (En,Ja)",FZ-SJ3155,,
"Samurai Shodown (USA, Europe)",,,
"San Diego Zoo Presents... The Animals!, The (USA)",,,
Sangokushi IV (Japan),FZ-SJ2853,,
Scramble Cobra - Premium Version (Japan),FZ-JJ9PSC-5H,,
Scramble Cobra (Europe),FZ-SE0404,,
Scramble Cobra (Japan),FZ-SJ0404,,
Scramble Cobra (Japan) (Demo),FZ-JJ9DSP-5G,,
Scramble Cobra (USA),FZ-SM0404,,
