Redump_Name,Serial_1,Serial_2
Dead to Rights (USA),DOL-GDRE-USA,
"Def Jam - Fight for NY (Europe) (En,Fr)",DOL-GNWP-EUR,DOL-GNWP-NOE
Def Jam - Fight for NY (USA),DOL-GNWE-USA,
Def Jam - Vendetta (Europe),DOL-GDTP-NOE,DOL-GDTP-UKV
Def Jam - Vendetta (USA),DOL-GDTE-USA,
"Defender - For All Mankind (Europe) (En,Fr,De,Es,It)",DOL-GDFP-EUR,
Defender (USA),DOL-GDFE-USA,
Densetsu no Quiz-ou Kettei-sen (Japan),DOL-GQZJ-JPN,
"Desastreuses Aventures des Orphelins Baudelaire, Les - D'Apres Lemony Snicket (France)",DOL-GLCF-FRA,
"Die Hard - Vendetta (Europe) (En,Fr)",DOL-GDIP-EUR,
"Die Hard - Vendetta (Europe) (Es,It)",DOL-GDIY-EUU,
"Die Hard - Vendetta (Germany) (En,De)",DOL-GDIX-EUB,
Die Hard - Vendetta (USA),DOL-GDIE-USA,
Digimon Battle Chronicle (Japan),DOL-G2DJ-JPN,
"Digimon Rumble Arena 2 (Europe) (En,Fr,De,Es)",DOL-GD6P-EUR,
Digimon Rumble Arena 2 (USA),DOL-GD6E-USA,
Digimon World 4 (USA),DOL-GDJE-USA,
Digimon World X (Japan),DOL-GDJJ-JPN,
Dinotopia - The Sunstone Odyssey (USA),DOL-GD4E-USA,
Disney Chicken Little (France),DOL-GHCF-FRA,
Disney Les Aventures de Porcinet (France),DOL-GPLF-FRA,
Disney Sports - American Football (Japan),DOL-GDWJ-JPN,
