Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Keiou Yuugekitai (Japan),KEIO YUUGEKITAI,KEIO YUUGEKITAI,T-60114,1993.AUG,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J,77853552
Kids on Site (Europe) (RE-1),KIDS ON SITE,KIDS ON SITE,T-162015,1994.NOV,SEGA MEGA DRIVE,(C)T-162,GM,50,J6,E,516009984
Kids on Site (USA),KIDS ON SITE,KIDS ON SITE,T-162015,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J6,U,516012336
"Lawnmower Man, The (Europe)",THE LAWNMOWER MAN,THE LAWNMOWER MAN,T-160015,1994,SEGA GENESIS,(C)T-16,GM,1,J,U,607973184
"Lawnmower Man, The (USA)",THE LAWNMOWER MAN,THE LAWNMOWER MAN,T-160015,1994,SEGA GENESIS,(C)T-16,GM,1,J,U,607973184
Lethal Enforcers (Europe),LETHAL ENFORCERS,LETHAL ENFORCERS,T-95015,1993.OCT,SEGA MEGA DRIVE,(C)T-95,GM,0,J,E,10097136
Lethal Enforcers (Japan),LETHAL ENFORCERS,LETHAL ENFORCERS,T-95014,1993.OCT,SEGA MEGA DRIVE,(C)T-95,GM,0,J,J,10097136
Lethal Enforcers (USA),LETHAL ENFORCERS,LETHAL ENFORCERS,T-95015,1993.OCT,SEGA GENESIS,(C)T-95,GM,0,J,U,10097136
Lethal Enforcers (USA) (Alt),LETHAL ENFORCERS,LETHAL ENFORCERS,T-95015,1993.OCT,SEGA GENESIS,(C)T-95,GM,0,J,U,10097136
Lethal Enforcers II - Gun Fighters (Europe),LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,T-95025,1994.OCT,SEGA MEGA DRIVE,(C)T-95,GM,0,J,E,14845824
Lethal Enforcers II - Gun Fighters (USA),LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,T-95025,1994.OCT,SEGA GENESIS,(C)T-95,GM,0,J,U,14845824
Lethal Enforcers II - The Western (Japan),LETHAL ENFORCERS II THE WESTER,LETHAL ENFORCERS II GUN FIGHTE,T-95034,1994.OCT,SEGA MEGA DRIVE,(C)T-95,GM,0,J,J,14845824
Links - The Challenge of Golf (USA),"LINKS, THE CHALLENGE OF GOLF","LINKS, THE CHALLENGE OF GOLF",T-70095,1994.SEP,SEGA GENESIS,(C)T-70,GM,0,JM,U,609593712
Links - The Challenge of Golf (USA) (RE),"LINKS, THE CHALLENGE OF GOLF","LINKS, THE CHALLENGE OF GOLF",T-70095,1994.SEP,SEGA GENESIS,(C)T-70,GM,0,JM,U,571453680
"Loadstar - The Legend of Tully Bodine (USA, Brazil)",LOADSTAR - THE LEGEND OF TULLY,LOADSTAR - THE LEGEND OF TULLY,T-153015,94.OCT,SEGA GENESIS,(C)T-153,GM,0,J6,U,656419680
Lords of Thunder (Europe),WINDS OF THUNDER,LORDS OF THUNDER,T-14303,1995.Apr,SEGA MEGA DRIVE,(C)T-14,GM,-5,J,E,8311968
