Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
Junclassic C.C. & Rope Club (Japan) (2M),JUNCLASSIC,T-11403G,V1.000,SEGA SEGASATURN,SEGA TP T-114,19970930,CD-1/1,JT,J
Jung Rhythm (Japan),JUNGLE-RHYTHM,T-16607G,V1.002,SEGA SEGASATURN,SEGA TP T-166,19971128,CD-1/1,J,J
Jungle Park - Saturn Shima (Japan) (Rev A),JUNGLE PARK,T-18008G,V1.002,SEGA SEGASATURN,SEGA TP T-180,19971114,CD-1/1,JE,J
K-1 Grand Prix - Fighting Illusion Shou (Japan),F.ILLUSION SHOU,T-26102G,V1.003,SEGA SEGASATURN,SEGA TP T-261,19961216,CD-1/1,J,J
Kaitei Daisensou (Japan),KAITEIDAISENSOU,T-15006G,V1.004,SEGA SEGASATURN,SEGA TP T-150,19951101,CD-1/1,J,J
Kaitou Saint Tail (Japan),SAINT_TAIL                                                                                      For JAPAN,T-28201G,V1.010,SEGA SEGASATURN,SEGA TP T-282,19970402,CD-1/1,J,J
Kakinoki Shougi (Japan),KAKINOKI-SHOGI,T-2104G,V1.000,SEGA SEGASATURN,SEGA TP T-21,19950227,CD-1/1,J,J
Kakyuusei (Japan) (Disc 1),KAKYUSEI,T-28002G,V1.002,SEGA SEGASATURN,SEGA TP T-280,19970228,CD-1/3,J,J
Kakyuusei (Japan) (Disc 2) (2M),KAKYUSEI,T-28002G,V1.002,SEGA SEGASATURN,SEGA TP T-280,19970228,CD-2/3,J,J
Kakyuusei (Japan) (Disc 3) (2M),KAKYUSEI,T-28002G,V1.002,SEGA SEGASATURN,SEGA TP T-280,19970228,CD-3/3,J,J
Kamen Rider - Sakusen File 1 (Japan),KAMENRIDER_SAKUSEN_FILE1,T-14101G,V1.004,SEGA SEGASATURN,SEGA TP T-141,19970929,CD-1/1,J,J
Kanazawa Shougi (Japan) (1M),KANAZAWA-SHOGI,T-16505G,V1.000,SEGA SEGASATURN,SEGA TP T-165,19950901,CD-1/1,J,J
Kanazawa Shougi (Japan) (2M),KANAZAWA-SHOGI,T-16505G,V1.000,SEGA SEGASATURN,SEGA TP T-165,19950901,CD-1/1,J,J
Kanzen Chuukei Pro Yakyuu Greatest Nine (Japan) (Rev A),GREATEST NINE,GS-9017,V1.009,SEGA SEGASATURN,SEGA ENTERPRISES,19950501,CD-1/1,J,J
Kanzen Chuukei Pro Yakyuu Greatest Nine (Japan) (Rev B),GREATEST NINE,GS-9017,V1.010,SEGA SEGASATURN,SEGA ENTERPRISES,19950509,CD-1/1,J,J
Keio Flying Squadron 2 (Europe),KEIO2,T-6008H-50,V1.000,SEGA SEGASATURN,SEGA TP T-60,19960517,CD-1/1,J,E
Keiou Yuugekitai - Katsugeki-hen (Japan),KEIO2,T-6003G,V1.001,SEGA SEGASATURN,SEGA TP T-60,19960327,CD-1/1,J,JT
Keiou Yuugekitai - Okiraku Tamatebako (Japan),KEIO2 SOFTBANK,610-6321-01,V1.00,SEGA SEGASATURN,SEGA TP T-186,19960817,CD-1/1,J,JT
Kekkon - Marriage - Zen'ya (Japan),KEKKON_ZENYA,T-10502G,V1.200,SEGA SEGASATURN,SEGA TP T-105,19951001,CD-1/1,J,J
Kekkon - Marriage (Japan),MARRIAGE,T-10501G,V1.200,SEGA SEGASATURN,SEGA TP T-105,19951106,CD-1/1,J,J
Keriotosse! (Japan),KERIOTOSSE SATUR,T-30306G,V1.003,SEGA SEGASATURN,SEGA TP T-303,19980425,CD-1/1,JT,J
Kidou Senkan Nadesico - The Blank of 3 Years (Japan) (Disc 1),KIDOUSENKAN NADESICO THE BLANK OF 3 YEARS,GS-9195,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19980821,CD-1/2,J,JT
Kidou Senkan Nadesico - The Blank of 3 Years (Japan) (Disc 2),KIDOUSENKAN NADESICO THE BLANK OF 3 YEARS,GS-9195,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19980821,CD-2/2,J,JT
